都道府県,市区町村,町名,丁目,番地,号,建物名,価格,最寄駅,物件タイプ,敷地面積
神奈川県,横須賀市,追浜,10,11,15,東京オペラシティ,23871590,戸塚駅,一戸建て,4167
福岡県,北九州市,戸畑,7,6,6,東京スカイツリー,15769000,西新駅,店舗,2440
東京都,中央区,日本橋,4,16,12,国立競技場,25522060,吉祥寺駅,店舗,80
千葉県,松戸市,常盤平,8,3,11,汐留メディアタワー,75425190,船橋駅,一戸建て,4777
福岡県,福岡市,天神,7,9,15,アトレ恵比寿,30392390,西鉄柳川駅,店舗,2989
千葉県,市川市,行徳,3,10,19,晴海トリトンスクエア,60271050,新浦安駅,マンション,728
神奈川県,茅ヶ崎市,松林,2,24,3,晴海トリトンスクエア,90259580,茅ヶ崎駅,一戸建て,3694
東京都,新宿区,新宿,8,11,5,大手町プレイス,37359760,八王子駅,オフィスビル,723
千葉県,柏市,柏の葉キャンパス,10,7,11,丸の内パークビルディング,56314570,八柱駅,マンション,438
東京都,渋谷区,原宿,2,16,17,大手町タワー,79245060,銀座駅,一戸建て,2524
大阪府,堺市,泉ヶ丘,1,9,8,霞が関ビルディング,89068620,心斎橋駅,アパート,4878
埼玉県,所沢市,小手指,1,29,20,汐留メディアタワー,69930330,武蔵浦和駅,マンション,564
福岡県,大牟田市,諏訪,1,23,11,表参道ヒルズ,47359070,西鉄久留米駅,店舗,2824
愛知県,名古屋市,金山,2,26,18,赤坂ACTシアター,72498340,知立駅,一戸建て,3644
愛知県,岡崎市,東岡崎,10,4,14,丸の内オアゾ,78398050,瀬戸駅,マンション,987
愛知県,春日井市,勝川,10,6,9,渋谷マークシティ,51068230,名古屋駅,オフィスビル,4628
東京都,中央区,月島,6,21,5,新宿センタービル,14958530,八王子駅,店舗,2170
大阪府,大阪市北区,扇町,5,2,15,新宿野村ビル,99422660,江坂駅,アパート,4678
埼玉県,さいたま市,浦和美園,5,28,15,渋谷ヒカリエ,39666750,志木駅,店舗,1211
福岡県,福岡市,姪浜,9,17,10,日本橋三井タワー,32056330,小倉駅,店舗,3907
神奈川県,横浜市,青葉台,6,30,7,東京シティビュー,37547470,茅ヶ崎駅,店舗,1778
愛知県,一宮市,尾張大野,6,22,4,新宿センタービル,19909970,尾張一宮駅,店舗,2119
大阪府,大阪市北区,大淀,5,25,1,新丸の内ビルディング,90373830,和泉府中駅,店舗,1286
大阪府,吹田市,江坂,10,18,14,丸の内ブリックスクエア,44223830,新大阪駅,マンション,2644
大阪府,豊中市,庄内,2,30,7,新宿野村ビル,84408530,梅田駅,一戸建て,365
埼玉県,川口市,東川口,7,15,9,キャピタルゲートプレイス,89078540,大宮駅,店舗,1152
千葉県,千葉市,蘇我,9,26,13,赤坂ACTシアター,33068230,西船橋駅,アパート,3865
千葉県,千葉市,蘇我,4,29,4,汐留メディアタワー,26919980,新松戸駅,店舗,4641
東京都,中央区,八丁堀,8,11,18,明治生命館,77222000,銀座駅,アパート,2038
